# Great Lakes Migrant Waterfowl Survey (ECCC / Canadian Wildlife Service).
# Source: https://open.canada.ca/data/en/dataset/b188cade-c51a-406a-ac43-8103622cc389
# Aerial shoreline/nearshore counts, Ontario. Ducks only, TEAL EXCLUDED to match
# the rest of the anchor cloud; geese, swans, coot, cormorants and the SURV
# survey-placeholder rows are dropped.
# Sectors are grouped into clusters by coordinate box; lat/lng is the cluster
# centroid from the GLMWS_Sectors geodatabase layer (EPSG:4269).
# 'sectors' = how many sectors were flown that date (survey effort).
cluster,flyway,latitude,longitude,survey_date,sectors,ducks_teal_excluded
Bay of Quinte ON,Atlantic,43.999,-77.25,1977-12-08,5,3604
Bay of Quinte ON,Atlantic,43.999,-77.25,1978-11-07,6,15430
Bay of Quinte ON,Atlantic,43.999,-77.25,1979-11-06,4,49368
Bay of Quinte ON,Atlantic,43.999,-77.25,1980-11-07,9,51300
Bay of Quinte ON,Atlantic,43.999,-77.25,1981-11-06,4,21967
Bay of Quinte ON,Atlantic,43.999,-77.25,1982-11-05,4,25969
Bay of Quinte ON,Atlantic,43.999,-77.25,1983-11-05,7,33820
Bay of Quinte ON,Atlantic,43.999,-77.25,1984-11-06,6,35312
Bay of Quinte ON,Atlantic,43.999,-77.25,1985-11-06,13,65421
Bay of Quinte ON,Atlantic,43.999,-77.25,1986-01-02,11,2925
Bay of Quinte ON,Atlantic,43.999,-77.25,1986-09-15,12,1671
Bay of Quinte ON,Atlantic,43.999,-77.25,1986-09-24,10,10302
Bay of Quinte ON,Atlantic,43.999,-77.25,1986-10-10,9,46544
Bay of Quinte ON,Atlantic,43.999,-77.25,1986-10-17,4,137
Bay of Quinte ON,Atlantic,43.999,-77.25,1986-10-23,9,60090
Bay of Quinte ON,Atlantic,43.999,-77.25,1986-11-05,11,57955
Bay of Quinte ON,Atlantic,43.999,-77.25,1986-11-14,4,3785
Bay of Quinte ON,Atlantic,43.999,-77.25,1986-11-20,10,7458
Bay of Quinte ON,Atlantic,43.999,-77.25,1986-12-08,8,3263
Bay of Quinte ON,Atlantic,43.999,-77.25,1986-12-17,4,713
Bay of Quinte ON,Atlantic,43.999,-77.25,1987-01-13,13,4345
Bay of Quinte ON,Atlantic,43.999,-77.25,1987-11-05,12,22580
Bay of Quinte ON,Atlantic,43.999,-77.25,1988-01-07,8,2156
Bay of Quinte ON,Atlantic,43.999,-77.25,1988-10-19,10,42429
Bay of Quinte ON,Atlantic,43.999,-77.25,1988-11-03,4,9547
Bay of Quinte ON,Atlantic,43.999,-77.25,1988-11-04,10,29975
Bay of Quinte ON,Atlantic,43.999,-77.25,1988-11-18,13,20589
Bay of Quinte ON,Atlantic,43.999,-77.25,1988-12-14,6,8098
Bay of Quinte ON,Atlantic,43.999,-77.25,1989-01-03,10,3663
Bay of Quinte ON,Atlantic,43.999,-77.25,1989-10-24,13,48892
Bay of Quinte ON,Atlantic,43.999,-77.25,1989-11-08,11,38936
Bay of Quinte ON,Atlantic,43.999,-77.25,1989-11-17,4,6805
Bay of Quinte ON,Atlantic,43.999,-77.25,1989-12-15,8,3202
Bay of Quinte ON,Atlantic,43.999,-77.25,1990-01-03,9,4937
Bay of Quinte ON,Atlantic,43.999,-77.25,1990-11-08,15,28667
Bay of Quinte ON,Atlantic,43.999,-77.25,1990-11-15,11,6928
Bay of Quinte ON,Atlantic,43.999,-77.25,1990-12-13,4,150
Bay of Quinte ON,Atlantic,43.999,-77.25,1991-01-02,11,3887
Bay of Quinte ON,Atlantic,43.999,-77.25,1991-11-05,13,31848
Bay of Quinte ON,Atlantic,43.999,-77.25,1991-11-14,1,20
Bay of Quinte ON,Atlantic,43.999,-77.25,1991-11-18,12,4260
Bay of Quinte ON,Atlantic,43.999,-77.25,1991-12-12,11,3495
Bay of Quinte ON,Atlantic,43.999,-77.25,1992-01-09,10,1893
Bay of Quinte ON,Atlantic,43.999,-77.25,1992-11-05,14,30086
Bay of Quinte ON,Atlantic,43.999,-77.25,1992-11-24,8,5394
Bay of Quinte ON,Atlantic,43.999,-77.25,1993-01-05,11,3022
Bay of Quinte ON,Atlantic,43.999,-77.25,1993-11-04,13,20164
Bay of Quinte ON,Atlantic,43.999,-77.25,1993-11-17,14,28158
Bay of Quinte ON,Atlantic,43.999,-77.25,1993-12-16,13,7438
Bay of Quinte ON,Atlantic,43.999,-77.25,1994-01-05,12,2169
Bay of Quinte ON,Atlantic,43.999,-77.25,1994-11-04,12,57430
Bay of Quinte ON,Atlantic,43.999,-77.25,1994-11-16,15,40223
Bay of Quinte ON,Atlantic,43.999,-77.25,1994-12-15,14,22838
Bay of Quinte ON,Atlantic,43.999,-77.25,1995-01-09,1,447
Bay of Quinte ON,Atlantic,43.999,-77.25,1995-01-10,11,24966
Bay of Quinte ON,Atlantic,43.999,-77.25,1995-10-25,15,58898
Bay of Quinte ON,Atlantic,43.999,-77.25,1995-11-09,15,40351
Bay of Quinte ON,Atlantic,43.999,-77.25,1995-11-22,15,21520
Bay of Quinte ON,Atlantic,43.999,-77.25,1995-12-12,15,15487
Bay of Quinte ON,Atlantic,43.999,-77.25,1996-01-05,8,7254
Bay of Quinte ON,Atlantic,43.999,-77.25,1996-11-04,13,14437
Bay of Quinte ON,Atlantic,43.999,-77.25,1996-11-05,15,36634
Bay of Quinte ON,Atlantic,43.999,-77.25,1996-12-10,7,10377
Bay of Quinte ON,Atlantic,43.999,-77.25,1996-12-16,8,5085
Bay of Quinte ON,Atlantic,43.999,-77.25,1997-01-08,11,10533
Bay of Quinte ON,Atlantic,43.999,-77.25,1997-11-05,14,47705
Bay of Quinte ON,Atlantic,43.999,-77.25,1997-11-06,2,4240
Bay of Quinte ON,Atlantic,43.999,-77.25,1997-12-08,7,6155
Bay of Quinte ON,Atlantic,43.999,-77.25,1997-12-11,7,2634
Bay of Quinte ON,Atlantic,43.999,-77.25,1998-01-21,9,11523
Bay of Quinte ON,Atlantic,43.999,-77.25,1998-11-04,15,33980
Bay of Quinte ON,Atlantic,43.999,-77.25,1998-12-16,15,47242
Bay of Quinte ON,Atlantic,43.999,-77.25,1999-01-07,2,3016
Bay of Quinte ON,Atlantic,43.999,-77.25,1999-01-11,10,22224
Bay of Quinte ON,Atlantic,43.999,-77.25,1999-09-13,10,775
Bay of Quinte ON,Atlantic,43.999,-77.25,1999-09-23,15,8975
Bay of Quinte ON,Atlantic,43.999,-77.25,1999-10-07,15,14899
Bay of Quinte ON,Atlantic,43.999,-77.25,1999-10-18,12,5803
Bay of Quinte ON,Atlantic,43.999,-77.25,1999-10-19,15,19739
Bay of Quinte ON,Atlantic,43.999,-77.25,1999-11-08,15,120803
Bay of Quinte ON,Atlantic,43.999,-77.25,1999-11-18,15,93775
Bay of Quinte ON,Atlantic,43.999,-77.25,1999-12-01,4,11767
Bay of Quinte ON,Atlantic,43.999,-77.25,1999-12-02,15,30645
Bay of Quinte ON,Atlantic,43.999,-77.25,1999-12-17,11,7848
Bay of Quinte ON,Atlantic,43.999,-77.25,1999-12-22,4,7783
Bay of Quinte ON,Atlantic,43.999,-77.25,2000-01-05,15,47327
Bay of Quinte ON,Atlantic,43.999,-77.25,2000-11-07,13,55607
Bay of Quinte ON,Atlantic,43.999,-77.25,2000-11-08,2,16405
Bay of Quinte ON,Atlantic,43.999,-77.25,2001-01-09,5,2812
Bay of Quinte ON,Atlantic,43.999,-77.25,2001-01-10,5,6807
Bay of Quinte ON,Atlantic,43.999,-77.25,2001-11-05,2,789
Bay of Quinte ON,Atlantic,43.999,-77.25,2001-11-06,11,43493
Bay of Quinte ON,Atlantic,43.999,-77.25,2002-01-07,4,8555
Bay of Quinte ON,Atlantic,43.999,-77.25,2002-01-08,7,7586
Bay of Quinte ON,Atlantic,43.999,-77.25,2002-10-29,15,58845
Bay of Quinte ON,Atlantic,43.999,-77.25,2003-01-07,9,12044
Bay of Quinte ON,Atlantic,43.999,-77.25,2003-11-06,15,66632
Bay of Quinte ON,Atlantic,43.999,-77.25,2004-01-07,15,13987
Bay of Quinte ON,Atlantic,43.999,-77.25,2009-09-08,4,396
Bay of Quinte ON,Atlantic,43.999,-77.25,2009-09-09,11,616
Bay of Quinte ON,Atlantic,43.999,-77.25,2009-09-24,4,790
Bay of Quinte ON,Atlantic,43.999,-77.25,2009-09-25,12,1580
Bay of Quinte ON,Atlantic,43.999,-77.25,2009-10-06,4,1617
Bay of Quinte ON,Atlantic,43.999,-77.25,2009-10-08,11,1702
Bay of Quinte ON,Atlantic,43.999,-77.25,2009-10-19,4,8096
Bay of Quinte ON,Atlantic,43.999,-77.25,2009-10-26,11,12246
Bay of Quinte ON,Atlantic,43.999,-77.25,2009-11-03,3,11869
Bay of Quinte ON,Atlantic,43.999,-77.25,2009-11-04,12,54363
Bay of Quinte ON,Atlantic,43.999,-77.25,2009-11-17,4,10010
Bay of Quinte ON,Atlantic,43.999,-77.25,2009-11-18,12,64326
Bay of Quinte ON,Atlantic,43.999,-77.25,2009-12-02,4,18015
Bay of Quinte ON,Atlantic,43.999,-77.25,2009-12-04,11,28884
Bay of Quinte ON,Atlantic,43.999,-77.25,2009-12-16,4,5647
Bay of Quinte ON,Atlantic,43.999,-77.25,2009-12-17,11,21401
Kingston Basin ON,Atlantic,44.194,-76.506,1976-09-28,7,4298
Kingston Basin ON,Atlantic,44.194,-76.506,1976-09-29,4,1063
Kingston Basin ON,Atlantic,44.194,-76.506,1976-11-05,7,25878
Kingston Basin ON,Atlantic,44.194,-76.506,1976-11-06,4,1047
Kingston Basin ON,Atlantic,44.194,-76.506,1976-12-03,11,7877
Kingston Basin ON,Atlantic,44.194,-76.506,1977-01-20,11,695
Kingston Basin ON,Atlantic,44.194,-76.506,1977-09-22,7,2426
Kingston Basin ON,Atlantic,44.194,-76.506,1977-10-19,8,42108
Kingston Basin ON,Atlantic,44.194,-76.506,1977-11-15,7,26965
Kingston Basin ON,Atlantic,44.194,-76.506,1977-12-08,7,5957
Kingston Basin ON,Atlantic,44.194,-76.506,1978-11-07,10,23417
Kingston Basin ON,Atlantic,44.194,-76.506,1979-11-06,8,31660
Kingston Basin ON,Atlantic,44.194,-76.506,1980-11-06,5,14502
Kingston Basin ON,Atlantic,44.194,-76.506,1980-11-07,3,10715
Kingston Basin ON,Atlantic,44.194,-76.506,1981-11-06,7,15761
Kingston Basin ON,Atlantic,44.194,-76.506,1982-11-05,6,16213
Kingston Basin ON,Atlantic,44.194,-76.506,1983-11-05,8,27624
Kingston Basin ON,Atlantic,44.194,-76.506,1984-11-06,8,15127
Kingston Basin ON,Atlantic,44.194,-76.506,1985-09-11,8,3766
Kingston Basin ON,Atlantic,44.194,-76.506,1985-09-26,8,2198
Kingston Basin ON,Atlantic,44.194,-76.506,1985-10-10,5,11330
Kingston Basin ON,Atlantic,44.194,-76.506,1985-10-23,8,21909
Kingston Basin ON,Atlantic,44.194,-76.506,1985-11-06,10,42665
Kingston Basin ON,Atlantic,44.194,-76.506,1985-11-07,2,68
Kingston Basin ON,Atlantic,44.194,-76.506,1985-11-18,7,36150
Kingston Basin ON,Atlantic,44.194,-76.506,1985-12-05,8,15142
Kingston Basin ON,Atlantic,44.194,-76.506,1985-12-19,5,4171
Kingston Basin ON,Atlantic,44.194,-76.506,1986-01-02,10,7256
Kingston Basin ON,Atlantic,44.194,-76.506,1986-09-15,4,622
Kingston Basin ON,Atlantic,44.194,-76.506,1986-09-24,4,499
Kingston Basin ON,Atlantic,44.194,-76.506,1986-10-03,2,930
Kingston Basin ON,Atlantic,44.194,-76.506,1986-10-08,3,3950
Kingston Basin ON,Atlantic,44.194,-76.506,1986-10-10,4,1282
Kingston Basin ON,Atlantic,44.194,-76.506,1986-10-17,5,8025
Kingston Basin ON,Atlantic,44.194,-76.506,1986-10-23,9,21878
Kingston Basin ON,Atlantic,44.194,-76.506,1986-10-30,6,15917
Kingston Basin ON,Atlantic,44.194,-76.506,1986-11-05,9,28864
Kingston Basin ON,Atlantic,44.194,-76.506,1986-11-06,3,3317
