# LDWF coastal-transect waterfowl population estimates, Louisiana Department of
# Wildlife & Fisheries. 74 monthly reports, 20 seasons 2004-05 to 2023-24.
# Source: wlf.louisiana.gov -> Resources -> Waterfowl -> Aerial Surveys,
#   assets/Resources/Publications/Waterfowl/Aerial-Surveys/
#     Louisiana_Aerial_Waterfowl_Survey_<Month>_<Year>.pdf
# Rebuild this file with: python3 extract_louisiana_pdfs.py <folder-of-PDFs>
#
# These are the 27-transect ZONE estimates flown coastwide below US-90, which is
# what the two Louisiana anchors describe. They are NOT the per-WMA counts in
# louisiana_wma_aerial.csv -- those cover a small subset of the same zone.
#
# ducks_teal_excluded = TOTAL DUCKS - BW TEAL - GW TEAL, all three read off the
# sheet, so teal exclusion is exact rather than estimated.
#
# LDWF flies four surveys a season: early September, early November, early
# December, early January. There is NO October flight and nothing after about
# January 11, so Oct1/Oct2 are interpolated and Jan2 is unmeasured.
#
# Validated against each sheet's own printed TOTALS column: 70 of 74 reconcile
# exactly. The other four are LDWF's own arithmetic -- in January 2018 the sheet
# prints TOTAL DUCKS of 2,136,000 for the southwest while its own dabbler and
# diver subtotals for that zone sum to 2,146,000.
zone,season,month,day,total_ducks,bw_teal,gw_teal,ducks_teal_excluded,source_file
SOUTHEAST,2015,11,2,458000,97000,34000,327000,Louisiana_Aerial_Waterfowl_Survey_November_2015.pdf
SOUTHEAST,2015,12,8,1320000,44000,52000,1224000,Louisiana_Aerial_Waterfowl_Survey_December_2015.pdf
SOUTHEAST,2016,1,3,711000,27000,68000,616000,Louisiana_Aerial_Waterfowl_Survey_January_2017.pdf
SOUTHEAST,2016,9,6,5500,500,0,5000,Louisiana_Aerial_Waterfowl_Survey_September_2016.pdf
SOUTHEAST,2016,11,7,1454000,109000,204000,1141000,Louisiana_Aerial_Waterfowl_Survey_November_2016.pdf
SOUTHEAST,2016,12,15,1603000,50000,90000,1463000,Louisiana_Aerial_Waterfowl_Survey_December_2016.pdf
SOUTHEAST,2017,1,3,870000,17000,93000,760000,Louisiana_Aerial_Waterfowl_Survey_January_2018.pdf
SOUTHEAST,2017,9,11,33000,21000,0,12000,Louisiana_Aerial_Waterfowl_Survey_September_2017.pdf
SOUTHEAST,2017,11,6,545000,88000,64000,393000,Louisiana_Aerial_Waterfowl_Survey_November_2017.pdf
SOUTHEAST,2017,12,11,1214000,31000,99000,1084000,Louisiana_Aerial_Waterfowl_Survey_December_2017.pdf
SOUTHEAST,2018,1,9,752000,37000,55000,660000,Louisiana_Aerial_Waterfowl_Survey_January_2019.pdf
SOUTHEAST,2018,9,10,12000,5000,0,7000,Louisiana_Aerial_Waterfowl_Survey_September_2018.pdf
SOUTHEAST,2018,12,10,890000,31000,47000,812000,Louisiana_Aerial_Waterfowl_Survey_December_2018.pdf
SOUTHEAST,2019,1,6,745000,52000,58000,635000,Louisiana_Aerial_Waterfowl_Survey_January_2020.pdf
SOUTHEAST,2019,9,9,18000,12000,0,6000,Louisiana_Aerial_Waterfowl_Survey_September_2019.pdf
SOUTHEAST,2019,11,4,357000,87000,35000,235000,Louisiana_Aerial_Waterfowl_Survey_November_2019.pdf
SOUTHEAST,2019,12,13,1332000,28000,62000,1242000,Louisiana_Aerial_Waterfowl_Survey_December_2019.pdf
SOUTHEAST,2020,1,4,598000,22000,40000,536000,Louisiana_Aerial_Waterfowl_Survey_January_2021.pdf
SOUTHEAST,2020,9,8,30000,16000,0,14000,Louisiana_Aerial_Waterfowl_Survey_September_2020.pdf
SOUTHEAST,2020,11,9,316000,54000,37000,225000,Louisiana_Aerial_Waterfowl_Survey_November_2020.pdf
SOUTHEAST,2020,12,14,943000,35000,114000,794000,Louisiana_Aerial_Waterfowl_Survey_December_2020.pdf
