# Michigan DNR "Wetland Wonders" managed waterfowl area weekly counts.
# Source: michigan.gov/dnr .../wetland-wonders/<area>/waterfowl-counts
# Season: 2025-26 (the only season the DNR publishes on those pages).
# total_ducks is the DNR's own "Total ducks"; bwt/gwt are blue- and green-winged
# teal, broken out so the curve can be built teal-excluded like the other anchors.
location,latitude,longitude,survey_date,total_ducks,bwt,gwt
Pointe Mouillee MI,41.98,-83.25,2025-09-28,499,30,10
Pointe Mouillee MI,41.98,-83.25,2025-10-05,3804,245,375
Pointe Mouillee MI,41.98,-83.25,2025-10-12,5523,250,500
Pointe Mouillee MI,41.98,-83.25,2025-10-26,5010,35,260
Pointe Mouillee MI,41.98,-83.25,2025-11-02,6535,10,1200
Pointe Mouillee MI,41.98,-83.25,2025-11-09,7605,0,1000
Pointe Mouillee MI,41.98,-83.25,2025-11-16,5697,0,725
Pointe Mouillee MI,41.98,-83.25,2025-11-23,5785,0,500
Pointe Mouillee MI,41.98,-83.25,2025-11-30,4425,0,250
Pointe Mouillee MI,41.98,-83.25,2025-12-07,1693,0,100
Pointe Mouillee MI,41.98,-83.25,2025-12-14,1819,0,100
Pointe Mouillee MI,41.98,-83.25,2025-12-21,1913,0,0
