# TWRA bi-weekly waterfowl refuge surveys, Tennessee Wildlife Resources Agency.
# Source: Tennessee State Library & Archives, Digital Tennessee,
#   digitaltennessee.tnsos.gov/wildlife_resources_waterfowl_counts (items 1-6).
# SIX SEASONS, 2015-16 through 2020-21. The site sits behind Cloudflare and
# refuses automated fetching, so the PDFs were downloaded by hand.
#
# ducks = the sheet's DUCKS column for that refuge on that date. Geese and
# sandhill cranes are excluded; note that TWRA folds cranes INTO its own printed
# Regional Total, so these rows will read low against that total by exactly the
# crane row. Reconciled against the printed Regional Total for Regions I and II:
# 14/14 columns exact in 2018-19, 2019-20 and 2020-21, and every residual in the
# other three seasons equals a crane row.
#
# Counts are made on the 1st and the 15th; TWRA's first count of the season is
# NOV 15, so this source has NO September or October coverage. February columns
# are outside the model window and are kept here but ignored by the parser.
# Cheatham Lake is the sum of its two sub-refuges (Dyson Ditch + Pardue Pond).
# Rebuild the curves with: python3 parse_tennessee.py
location,season,month,day,ducks
Lake Lauderdale TN,2016,2,1,42502
Lake Lauderdale TN,2016,11,15,235
Lake Lauderdale TN,2016,12,1,2081
Lake Lauderdale TN,2016,12,15,12701
Lake Lauderdale TN,2017,1,2,0
Lake Lauderdale TN,2017,1,17,46659
Lake Lauderdale TN,2017,11,15,15
Lake Lauderdale TN,2017,12,1,220
Lake Lauderdale TN,2017,12,15,9710
Lake Lauderdale TN,2018,1,7,8550
Lake Lauderdale TN,2018,1,15,35000
Lake Lauderdale TN,2018,11,15,18111
Lake Lauderdale TN,2018,12,1,9500
Lake Lauderdale TN,2018,12,15,33120
Lake Lauderdale TN,2019,1,1,11575
Lake Lauderdale TN,2019,1,15,21385
Lake Lauderdale TN,2019,2,1,44401
Lake Lauderdale TN,2019,2,15,13000
Lake Lauderdale TN,2019,11,15,5190
Lake Lauderdale TN,2019,12,1,20375
Lake Lauderdale TN,2019,12,15,37606
Lake Lauderdale TN,2020,1,1,48950
Lake Lauderdale TN,2020,1,15,21000
Lake Lauderdale TN,2020,2,1,20400
Lake Lauderdale TN,2020,11,15,0
Lake Lauderdale TN,2020,12,1,7072
Lake Lauderdale TN,2020,12,15,15800
Maness Swamp TN,2015,1,1,25845
Maness Swamp TN,2015,1,4,23845
Maness Swamp TN,2015,1,17,19850
Maness Swamp TN,2015,2,1,12500
Maness Swamp TN,2015,2,15,2200
Maness Swamp TN,2015,11,15,291
Maness Swamp TN,2015,12,1,2900
Maness Swamp TN,2015,12,15,2952
Maness Swamp TN,2016,1,2,19100
Maness Swamp TN,2016,1,17,26500
Maness Swamp TN,2016,2,1,17328
Maness Swamp TN,2016,2,15,2175
Maness Swamp TN,2016,11,15,45
Maness Swamp TN,2016,12,1,3500
Maness Swamp TN,2016,12,15,8801
Maness Swamp TN,2017,1,2,19504
Maness Swamp TN,2017,1,17,6050
Maness Swamp TN,2017,2,1,120
Maness Swamp TN,2017,11,15,2572
Maness Swamp TN,2017,12,1,4450
Maness Swamp TN,2017,12,15,22200
Maness Swamp TN,2018,1,7,16800
Maness Swamp TN,2018,1,15,18200
Maness Swamp TN,2018,11,15,5150
Maness Swamp TN,2018,12,1,8500
Maness Swamp TN,2018,12,15,13758
Maness Swamp TN,2019,1,1,8200
Maness Swamp TN,2019,1,15,11000
Maness Swamp TN,2019,2,1,4452
Maness Swamp TN,2019,2,15,4700
Maness Swamp TN,2019,11,15,3750
Maness Swamp TN,2019,12,1,5000
Maness Swamp TN,2019,12,15,5400
Maness Swamp TN,2020,1,1,8655
Maness Swamp TN,2020,1,15,7400
Maness Swamp TN,2020,2,1,11602
Maness Swamp TN,2020,11,15,2
Maness Swamp TN,2020,12,1,0
Maness Swamp TN,2020,12,15,2325
Old Hickory L5 TN,2015,1,4,2891
Old Hickory L5 TN,2015,1,17,3454
Old Hickory L5 TN,2015,2,15,259
Old Hickory L5 TN,2015,11,15,1470
Old Hickory L5 TN,2015,12,1,2235
Old Hickory L5 TN,2015,12,15,3014
Old Hickory L5 TN,2016,1,2,6325
Old Hickory L5 TN,2016,1,17,2236
Old Hickory L5 TN,2016,2,1,385
Old Hickory L5 TN,2016,2,15,153
Old Hickory L5 TN,2016,11,15,1613
Old Hickory L5 TN,2016,12,1,1531
Old Hickory L5 TN,2016,12,15,3918
Old Hickory L5 TN,2017,1,2,5050
Old Hickory L5 TN,2017,1,17,2141
Old Hickory L5 TN,2017,2,1,2464
Old Hickory L5 TN,2017,11,15,164
Old Hickory L5 TN,2017,12,1,2877
Old Hickory L5 TN,2017,12,15,7646
Old Hickory L5 TN,2018,1,7,4518
Old Hickory L5 TN,2018,1,15,3622
Old Hickory L5 TN,2018,11,15,1449
Old Hickory L5 TN,2018,12,1,1999
Old Hickory L5 TN,2018,12,15,2534
Old Hickory L5 TN,2019,1,1,4191
Old Hickory L5 TN,2019,1,15,4586
Old Hickory L5 TN,2019,2,1,4724
Old Hickory L5 TN,2019,2,15,2842
Old Hickory L5 TN,2019,11,15,1600
Old Hickory L5 TN,2019,12,1,3100
Old Hickory L5 TN,2019,12,15,6446
Old Hickory L5 TN,2020,1,1,9778
Old Hickory L5 TN,2020,1,15,6780
Old Hickory L5 TN,2020,2,1,4564
Old Hickory L5 TN,2020,11,15,1314
Old Hickory L5 TN,2020,12,1,4241
Old Hickory L5 TN,2020,12,15,6679
White Lake TN,2015,1,1,89122
White Lake TN,2015,1,4,98930
White Lake TN,2015,1,17,34000
White Lake TN,2015,2,15,28000
White Lake TN,2015,11,15,660
White Lake TN,2015,12,1,68996
White Lake TN,2015,12,15,72300
White Lake TN,2016,1,2,96307
White Lake TN,2016,1,17,70205
White Lake TN,2016,2,1,129200
White Lake TN,2016,11,15,120
White Lake TN,2016,12,1,31658
White Lake TN,2016,12,15,71660
White Lake TN,2017,1,2,97527
White Lake TN,2017,1,17,35500
White Lake TN,2017,2,1,5400
White Lake TN,2017,11,15,34025
White Lake TN,2017,12,1,24225
White Lake TN,2017,12,15,50594
White Lake TN,2018,1,7,38500
White Lake TN,2018,1,15,72108
White Lake TN,2018,11,15,72016
White Lake TN,2018,12,1,81479
White Lake TN,2018,12,15,108510
White Lake TN,2019,1,1,63279
White Lake TN,2019,1,15,41060
White Lake TN,2019,2,1,75368
White Lake TN,2019,2,15,29800
White Lake TN,2019,11,15,26351
White Lake TN,2019,12,1,48000
White Lake TN,2019,12,15,23386
White Lake TN,2020,1,1,109982
White Lake TN,2020,1,15,95255
White Lake TN,2020,11,15,23550
White Lake TN,2020,12,1,62755
White Lake TN,2020,12,15,82025
